document_id,clean_text,sentiment
0,had pleasure watch film early screening completely blown away dune part everything one could ask film kind a big fan game throne franchise long time since ive encountered level worldbuilding epicness the plot story development carried aweinspiring manner throughout movie progressing precise pace toward spectacular climax executed perfectly denis villeneuve continues prove one promising filmmaker time i would keep highbudget epic tale since director working today tackle genre good the film received praise many great filmmaker notable christopher nolan the dark knight trilogy oppenheimer accurately compared villeneuves achievement film empire strike back modern era would highly recommend rewatch first movie order appreciate subtlety foreshadowing better though completely necessary since movie pretty selfcontained more specifically one prominent impressive strength movie stand without relying heavily first part of course really want enjoy story there real point watching second part without seen first one however even watched year ago dont remember every little plot detail able catch quickly watching pt understand important detailseven smaller one nonideally even someone hasnt watched first movie greatly enjoy one selfcontained despite relying heavily first moviean impressive highly commendable screenplay effort writer timothe chalamet delivers impressive charismatic performance point seems like role born play zendaya also give good performance significantly screen time first movie austin butler manages terrifying role villain rebecca ferguson shine one best performance year javier bardem surprise role sometimes provides comic relief movie in addition film filled toptier actor actress perform role amazingly han zimmer score masterful youd expect one step oscar winning grammy nominated score pt technical aspect vfx production design sound editing etc are top notch awardsworthy the action sequence absolutely mind blowing sent chill spine denis direction impeccable story absolutely fascinating continuing develop character pt even deeper introduce new incredible intriguing character in personal opinion movie better first part pretty much every aspect while first part excellent mainly served setup positioning piece sequel in part story reach climax one strongest climax seen big screen recent decade befitting complex work frank herbert wrote many year ago i believe surely hope movie major player next award season belowtheline win pretty much guaranteed i hope get love abovetheline category direction even best picture perhaps break stigma presented fantasyscifi genre recent year academy a big fan genre unless better competitor released later eligibility period maybe time movie like triumph while movie serf great wrapup story introduced pt opinion could serve even better setup possible masterpiece dune messiah i really hope get greenlit soon dont miss opportunity catch movie imax since i believe historic piece epicfantasyscifi cinema movie remembered classic genre extremely recommended,positive
1,if liked loved first one apply one personally i loved one even i think general audience well so i hope well box office i need dune messiah this everything i love going movie also han zimmer for book reader id say one take liberty first change i liked better even for part still hit main beat book thing altered the biggest change time jump therefore certain character doesnt fully appear movie contrary book though still use character different way i liked personally i know early year lock oscar nomination movie best picture best director best adapted screenplay best editing best cinematography best score best sound best visual effect best costume best production design best makeup hopefully rebecca ferguson time best supporting actress i guess thats pretty much every category ive typed lol,positive
2,dune part epic movie slickly made visually stunning but i explain quite bit friend around read book especially water life scene final battle the movie almost hour run time felt overlong villenue focus much spectacle little substance it beautiful movie feel like soul the emotional connection paul chani vital story completely lacking unbelievable the two main character good looking enough absolutely zero chemistry screen i certain zendaya fine actress thing basically facial expression one us scowl directed paul i found worst part movie the final fight scene short choppy mess it felt anticlimactic unfulfilling the harkonens basically reduced bumbling villainy almost cartoonish the ending super abrupt different book left wondering filmmaker would want sequel i want reiterate isnt bad movie villenue great creating world look living breathing cant give life individual character it like cant see tree forest,positive
3,this kind movie impossible justice talking it kind experience never thought would get movie prof wrong this movie take aspect first movie improves upon almost every way possible already writing book greatest sequel all time everything movie top notch dennis villeneauve prof master scifi movie filmmaking general this demonstration power achieve filmmaking i beg watch biggest best screen find this experience stick forever i thought real blockbuster dead i wrong this cinematic experience craved now i gonna watch movie maybe then i gonna read book,neutral
4,like first part second part visually stunning though read book twice i regret say unlike david lynch version eighty de villeneuve almost deliberately destresses mysticalmythical core story this make impressive viewing somehow left unsatisfied in de villeneuves hand story becomes one political grandstanding part book relation hidden way fremen nature mission paul mother for example second part scene paul atreides becomes kwizatz haderach rather weak convincing having left essence movie become bit emptied visual experience a kind secular profane dune still nice also bit disappointing,positive
5,both film pretty consistent sense look amazing the sound score top tier han zimmer the action sequence are good actually happen often the actor good actor but theyre straight boring film core i dont understand people write review calling masterpiece peak film making i dont believe could actually entertained straight dead story dead dialogue seemed whole movie the piece dialogue i actually remember somewhat entertaining timothy chalamet said josh brolin i recognise footstep im missing anything im sure it justnothing i couldnt wait end it seems people lying want seem smart acclaimed novel made movie past or theyre timothy chalamet groupie im big fan actor work want well i refuse believe anyone found plot movie good thus making entertaining like made lack story amazing story telling action like mad max fury road can anyone think reason people would really rate movie even close,positive
6,a monumental piece cinema paced perfection uniquely beautiful thoughtprovoking beyond thrilling unbelievable cinematography flawless worldbuilding backed best ensemble performance blockbuster since fellowship ring an entire production agame incredible technical achievement everyone set clearly aware working something special denis villeneuves love dune shine every stunning frame part adaptation wonderful improves every way it doesnt get better,positive
7,this perfect sequel denis part one it accomplished main plot point book delivering stellar performance visuals film dream this film go one best scififantasy deserves laurel gifted not longest time franchise singular movie captivated way this story character planet dune life rentfree mind you would disservice seeing film imax soundscapes created soundtrack han zimmer immersive feel like part every scene this movie masterpiece storytelling,positive
8,i got early access showing absolutely incredible see imax the character acting screenplay world building storytelling score action sequence cinematography everything make cinematic masterpiece denis villeneuve provides masterclass filmmaking the casting continuation perfect way great new addons timothee chalamet believable raw real paul atriedes he flawless lead zendaya rebecca ferguson javier bardem josh brolin fantastic per usual stellan skarsgard dave bautista continue evil austin butler steal show feydrautha florence pugh christopher walken solid fresh cast overall dune part two inspiring visually stunning scifi spectacle incredible collision myth adventure destiny galactic scale it fantastic piece filmmaking rarely seen modern day cinema,positive
9,we waited many many year movie caliber im year old female grandmother retired the best movie i ever seen i dont tend like sifi movie i went along husband favor the length movie wasnt even noticed u wasnt long enough honest we wanted more it ended werent done yet we know long take sequel come along know ill still planet see i hope i and i hope justice the last time i remember movie this good i high school do not miss the opportunity to see this movie in the theatre crazy good,neutral
